	geonames_id	name	x	y	count
0	453733	Estland	26.0	59.0	17
1	453744	Narva	28.07487	59.46069	1
2	453747	Aa	24.26473	57.16041	2
3	453747	Livland	24.26473	57.16041	24
4	453754	Wolmar	25.42751	57.54108	2
5	453760	Sala	24.13564	56.93294	1
6	454144	Kragi	22.27176	56.87487	1
7	454199	Vigas	22.88347	57.23627	8
8	454308	Windau	21.53778	57.40188	16
9	454404	Poli	26.34894	56.83151	2
10	454425	Memele	25.03215	56.27686	4
11	454432	Libau	21.01149	56.50806	27
12	454441	Karki	25.63535	57.80892	1
13	454572	Walk	26.01013	57.7752	5
14	454761	Tuma	23.08743	56.93659	8
15	454890	Karli	27.18859	56.94514	1
16	454970	Talsen	22.58137	57.24562	3
17	455259	Stende	21.91123	57.54145	1
18	455286	Stalis	25.38539	57.75442	1
19	455381	Saka	24.79019	57.97421	1
20	455440	Schlock	23.61831	56.94377	1
21	455625	Silta	26.57046	57.0325	1
22	455718	Segewold	24.85953	57.15375	1
23	455880	Saliniki	26.97164	56.107	1
24	455890	Frauenburg	22.48807	56.66363	2
25	455895	Sola	25.32335	56.19821	1
26	455937	Zabeln	22.57261	57.04577	1
27	455944	Rusi	23.00352	57.10208	2
28	455951	Rute	22.49272	56.60648	5
29	456008	Rujen	25.33155	57.89752	2
30	456168	Riga	23.97111	56.92361	74
31	456172	Rigae	24.10589	56.946	4
32	456272	Ronneburg	25.60947	57.33173	2
33	456394	Puri	22.58821	56.97972	1
34	456412	Purga	22.59725	57.1725	1
35	456599	Kalkis	23.55533	56.83714	1
36	456827	Paulshafen	21.18593	56.88791	1
37	456890	Pani	22.75377	56.4805	1
38	456994	Liserort	21.71016	57.5725	1
39	457015	Osel	23.16972	56.94028	1
40	457148	Nerft	25.30752	56.20279	1
41	457173	Narva	23.75051	56.42049	2
42	457707	Majorenhof	23.80301	56.97336	1
43	457890	Lemsal	24.71941	57.51287	1
44	458258	Lettland	25.0	57.0	1
45	458388	Kursa	22.62822	57.16911	2
46	458432	Kunda	21.47977	57.0003	1
47	458460	Goldingen	21.95721	56.97399	4
48	458511	Kreutzburg	25.86117	56.51068	1
49	458547	Kroi	21.94181	57.39683	1
50	458651	Kosa	25.38115	57.08864	1
51	458681	Domesnes	22.60487	57.75895	2
52	458684	Kola	25.04367	58.01128	1
53	458823	Keil	27.41113	57.06048	1
54	458884	Kies	26.54581	56.10581	1
55	458923	Kause	27.80029	56.66376	3
56	458992	Kare	23.05273	57.06611	3
57	459013	Kapa	21.71964	57.10104	1
58	459279	Mitau	23.71278	56.65	30
59	459282	Jakobstadt	25.83333	56.33333	1
60	459402	Friedrichstadt	25.08316	56.61319	1
61	459899	Galati	22.84667	56.42691	1
62	460029	Elv	25.89634	57.55991	1
63	460171	Durben	21.36978	56.5887	1
64	460224	Dubna	26.16166	56.36282	1
65	460312	Doblen	23.2751	56.62372	1
66	460410	Düna	26.55481	55.94666	2
