	total	sturm	wind	regen	wetter	schnee	witterung	gewitter	kälte	wärme	hitze	wolken	frost	klima	fluth	überschwemmung	nebel	hagel	orkan	tau	dürre	sonnenschein	kühle	niederschlag	heiter	windhose	wirbelwind	wasserhose	naturereignis	nordlichter	tornado
1802	149	18	20	10	14	11	4	16	5	4	9	10	2	4	0	2	2	9	5	0	5	0	0	0	0	0	0	0	0	0	0
1803	173	24	39	12	8	9	10	12	17	3	9	10	2	4	1	0	4	4	1	3	2	1	0	0	0	0	0	0	0	0	0
1804	251	53	53	20	13	3	22	8	8	5	14	10	2	1	1	8	8	4	14	3	0	1	0	0	0	0	0	0	0	2	0
1805	149	21	42	14	8	7	13	1	9	2	5	3	1	1	0	2	9	3	3	4	0	2	0	0	0	0	0	0	0	0	0
1806	131	24	40	11	5	2	10	14	0	1	3	4	2	3	0	0	2	4	7	0	1	0	0	0	0	0	0	0	0	0	0
1807	100	26	24	5	6	7	9	3	3	0	4	4	2	0	2	0	3	1	3	1	0	0	0	0	0	0	0	0	0	0	0
1808	173	31	34	4	11	13	13	12	8	1	16	3	4	4	3	4	9	4	2	0	0	0	1	0	0	0	0	0	0	0	0
1809	141	28	18	8	16	17	3	11	11	3	6	1	6	6	0	2	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0
1810	300	51	47	31	14	33	10	29	15	6	11	3	10	7	4	8	8	7	4	9	1	0	0	0	0	0	0	0	1	0	0
1811	276	65	31	20	14	9	17	33	4	2	14	9	5	8	0	5	4	16	7	1	5	2	1	0	0	1	6	3	0	0	0
1812	199	39	11	16	19	18	13	20	17	3	7	3	9	10	2	2	9	1	1	4	0	1	0	0	0	0	0	0	0	0	0
1813	175	68	13	15	12	7	5	10	12	1	4	6	5	1	4	8	4	1	0	2	1	0	0	0	0	0	0	0	0	0	0
1814	80	23	6	6	6	7	6	1	2	1	0	4	3	2	1	0	7	1	3	0	1	0	0	0	0	0	0	0	0	0	0
1815	86	28	7	12	2	1	2	17	1	0	1	3	0	1	2	2	1	3	2	0	1	0	0	0	0	0	1	0	0	0	0
1816	115	23	14	22	10	10	9	5	4	2	8	1	3	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1817	141	29	13	20	2	13	9	6	5	6	5	3	5	2	1	4	4	7	3	0	3	0	0	1	0	0	0	1	1	0	0
1818	140	20	20	13	8	12	7	15	1	3	7	2	5	4	2	2	1	3	10	1	3	0	0	1	0	3	0	1	0	0	0
1819	132	27	21	18	8	6	6	14	2	3	3	1	2	2	2	2	3	5	6	0	2	0	2	0	0	0	1	0	0	0	0
